speaker,words,timestamp,tags
Leslie McKesson,"Interview with Artie McKesson Logan, about the Seven Mothers. I put it where it'd pick up your voice better than mine if need be. Artie, if you will just start off by telling me how you fit into this story. What's your position within the story of the Seven Mothers?",,
Artie McKesson Logan,"Well, I happened to be a friend all of their children. We played together in the neighborhood. We were used as models to break some barriers, certain things. For instance, we were groomed by these mothers to go to places like the recreation center and to see if we could gain access. We were told how to behave, and to be polite, and how to accept rejection without any rebuttal, which we did. They purchased brand new tennis shoes for us so that they wouldn't say that we were bringing dirt and sand and things in there because they had just recently refurbished the floor.",,
,"We wore our shoes, and we went there, and we were denied. Well, they said, because the floor was being refurbished. Of course, there were other Caucasian children that were playing on the floor. We accepted that and came back home, and we told the mothers what had happened. They said, ""Wash the bottoms of your tennis shoes the next time, tie the strings together and throw them over your shoulders so that you won't track any dirt, or any sand, or any grit in there."" We did that, and we were met by the director of the recreation center that said, ""We prefer or you to go to another place to play."" I said, ""Why?"" They said, ""Because this is not for you all.""",,
,"Shortly after that, they did build the Mountain View Recreation Center, but these children, we were used in those areas as a model to try to break through the barrier, but we got a lot of prompting and priming from these mothers.",,
,"These mothers were Willette Chambers. She was born in 1931, she passed in 2007, Mrs. Ruth Forney, born in 1926. She passed in 1994, Mrs. Annie J. Hicks. She was born in 1923 and she passed in 1979. Ms. Rosalie Johnson, born in 1929. She passed in 2002. Ms. Mildred Largent was born in 1930 and passed in 1997. Ms. Lucille Rutherford, I don't have the dates of her birth or the date of her passing, but she has passed since then. The last one was Ms. Laura Thomas, and I don't have her dates either, but these two ladies have died within the last eight years.",,
Leslie McKesson,"You did pull up an obituary for them, those things. Okay, what was the timeframe, Artie, what years were we looking at, when you all were going to the gym and trying to play?",,
Artie McKesson Logan,"This was back in probably in 1960, 1961, something like that because we weren't quite in high school. Before we go on, I'll start back from a person that was very instrumental in starting the group of the seven women and that was Reverend W.F. McIntosh. He allowed them to have secret meetings in his basement. They first would repair them, glue, tape, and whatever, and try to make them look decent. Another thing they did, they started repairing the old, worn-out high school band suits that we were given, that were handed down from the white schools. They would sew them, and repair them, and refurbish them so that we would be able to wear them. That's when it really started out. McIntosh was very instrumental, but he had to be a silent negotiator or a silent general of the army. He worked very silently because he had to stay in a position where he could help us and not bring to light that he was a part of it because he was in the educational system. He was one of the few that remained in the educational system.",,
Leslie McKesson,"Now, tell me a little bit about that. When desegregation came, then it sounds like a lot of the blacks who had been previously teaching were let go. How did he end up remaining in the system?",,
Artie McKesson Logan,"I don't like to use the word token, but I felt like there were a few that were tokens that were kept back so that we wouldn't make such a fuss about it. Reverend McIntosh, who was outstanding coach, of course, he had skills that they could carry over to Morganton High School. That was a very significant role that he had. I felt like they wanted to continue with that in his expertise, in coaching. We had Ms. Effie Williams who remained. Of course, she looked to be Caucasian. There was another one that was kept, and she had a lighter complexion, so in my mind, I don't know how they were thinking, but in my mind, they kept the ones that were of lighter complexion.",,
,"They kept Mrs. Izola Fleming. They kept Ms. Frankie Carson. All these people could pass for white. Most of them could pass for white. Those were a few of them that they kept. Even before that year, the integration in 1965 is when the last class graduated from Olive Hill. That following fall of '65, we went to Morganton High School. Now, let me back up a little bit because this is very significant. A lot of people don't know this, and I did bring it to their attention.",,
